category,category_type,img_auc,pixel_auc
carpet,texture,0.32,0.719095838110862
grid,texture,0.7200000000000001,0.915608898465526
leather,texture,0.88,0.5480931939802808
tile,texture,0.56,0.4288084512362379
wood,texture,0.8,0.8233565847798169
